City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
683,Beckley,US,55.89,clear sky,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
684,Viedma,AR,67.39,clear sky,-40.8135,-62.9967,Hotel Cristal
685,Isla Vista,US,70.16,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
686,Fayaoue,NC,81.16,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
687,Newport,GB,39.85,overcast clouds,51.5877,-2.9984,ibis budget Newport
688,Honiara,SB,82.9,overcast clouds,-9.4333,159.95,Heritage Park Hotel
689,Sao Domingos,BR,69.35,few clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
690,Razlog,BG,39.9,scattered clouds,41.8863,23.4671,Thermo SPA hotel Roman Bath
691,Caraquet,CA,20.34,overcast clouds,47.7941,-64.9386,Gite Le Poirier
692,Ukiah,US,59.85,overcast clouds,39.1502,-123.2078,Hampton Inn Ukiah
696,Saint-Marc,HT,80.1,scattered clouds,19.1082,-72.6938,Maguana Hotel
698,Kota Bahru,MY,75.92,broken clouds,6.1333,102.2386,Grand Riverview Hotel
699,Mazamari,PE,69.71,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
700,Jonesboro,US,67.78,broken clouds,35.8423,-90.7043,Hilton Garden Inn Jonesboro
701,Dandong,CN,37.92,overcast clouds,40.1292,124.3947,Yiranju Farmstay
702,Honolulu,US,74.97,light rain,21.3069,-157.8583,Aston at the Executive Centre Hotel
703,Birjand,IR,45.68,overcast clouds,32.8663,59.2211,Birjand Tourist Hotel
704,Marbella,ES,55.26,few clouds,36.5154,-4.8858,Hotel Fuerte Marbella
706,Basay,PH,80.19,overcast clouds,9.4087,122.64,Nikka's Place (Basay Transient Rooms)
707,Ca Mau,VN,72.79,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
708,Teguise,ES,62.82,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
709,Bac Lieu,VN,73.33,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
712,Kangaatsiaq,GL,28.26,snow,68.3065,-53.4641,Nukissiorfiit
713,Talara,PE,66.43,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
714,Ottappalam,IN,76.75,few clouds,10.7667,76.3833,Builda Park inn
715,Trebisacce,IT,46.35,overcast clouds,39.8708,16.5312,Hotel Ristorante Pizzeria 111
716,Seoul,KR,38.64,clear sky,37.5683,126.9778,Lotte Hotel Seoul
718,Inhambane,MZ,75.63,clear sky,-23.865,35.3833,Oceano
719,Geelong,AU,79.3,overcast clouds,-38.1471,144.3607,Admiralty Inn
720,Kulevcha,UA,49.73,overcast clouds,46.0303,29.9361,Гостевой дом «Болгарский двор»
721,Halifax,CA,30.2,broken clouds,44.6453,-63.5724,Hotel Halifax
722,Celendin,PE,54.61,light rain,-6.8703,-78.1517,Villa Madrid
725,Molln,DE,37.13,broken clouds,53.6333,10.6833,Seehotel Schwanenhof
727,Ibipeba,BR,67.46,clear sky,-11.6408,-42.0111,Quitanda santos
729,Totness,SR,76.68,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
731,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
732,Tarakan,ID,74.7,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
734,Caiaponia,BR,69.19,clear sky,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
735,Nuuk,GL,25.41,light shower snow,64.1835,-51.7216,Vandrehuset
736,Conchal,BR,65.12,clear sky,-22.3303,-47.1725,Cabanha Tondela
738,Poum,NC,81.09,clear sky,-20.2333,164.0167,Gîte kajeon
739,Farafenni,GM,78.94,overcast clouds,13.5667,-15.6,Eddy's Hotel
740,Pointe-Noire,CG,78.69,light rain,-4.7761,11.8635,Kactus Lodge
741,Valdivia,CL,73.49,clear sky,-39.8142,-73.2459,Hostal Entre Rios
742,Coro,VE,77.9,broken clouds,11.4045,-69.6734,Federal
743,Zambezi,ZM,65.25,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
745,Nurota,UZ,33.89,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
