City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Bezenchuk,RU,2021-11-28 22:07:17,52.982,49.4333,33.57,97,100,7.38
154,Luanda,AO,2021-11-28 22:02:25,-8.8368,13.2343,78.8,73,75,5.75
155,Ustye,RU,2021-11-28 22:07:18,59.6304,39.736,21.52,94,95,6.53
156,Sisimiut,GL,2021-11-28 22:07:18,66.9395,-53.6735,31.35,93,100,11.14
157,Jian,CN,2021-11-28 22:07:19,27.1172,114.9793,52.81,88,4,3.56
158,Pontes E Lacerda,BR,2021-11-28 22:07:19,-15.2261,-59.3353,77.02,89,68,6.73
159,Bulgan,MN,2021-11-28 22:02:48,48.8125,103.5347,10.9,77,55,5.73
160,Salalah,OM,2021-11-28 22:07:20,17.0151,54.0924,73.49,78,0,1.14
161,Clyde River,CA,2021-11-28 22:07:20,70.4692,-68.5914,-3.77,84,95,18.41
162,Ust-Tsilma,RU,2021-11-28 22:07:20,65.441,52.1498,12.99,94,100,6.64
163,Palmer,US,2021-11-28 22:04:08,42.1584,-72.3287,34.41,93,88,2.06
164,Terrace,CA,2021-11-28 22:07:21,54.5163,-128.6035,39.36,100,100,3.74
165,Cooma,AU,2021-11-28 22:07:21,-36.2333,149.1333,49.77,93,90,10.36
166,Flinders,AU,2021-11-28 22:07:22,-34.5833,150.8552,63.14,64,68,1.1
167,Marechal Deodoro,BR,2021-11-28 22:07:22,-9.7103,-35.895,81.81,82,32,13.0
168,Suluq,LY,2021-11-28 22:07:23,31.6682,20.2521,78.46,21,99,22.03
169,Bubaque,GW,2021-11-28 22:02:52,11.2833,-15.8333,83.3,69,76,15.95
170,Podgornoye,RU,2021-11-28 22:07:23,51.735,39.1496,43.02,100,90,6.71
171,Margate,GB,2021-11-28 21:58:36,51.3813,1.3862,33.51,79,32,24.2
172,Kismayo,SO,2021-11-28 22:07:25,-0.3582,42.5454,79.29,82,100,6.67
173,Finschhafen,PG,2021-11-28 22:07:25,-6.6024,147.8681,84.2,65,76,5.21
174,Aguimes,ES,2021-11-28 22:07:26,27.9054,-15.4461,63.23,68,75,24.16
175,Charagua,BO,2021-11-28 22:07:26,-19.8,-63.2167,67.6,78,100,11.03
176,Hambantota,LK,2021-11-28 22:00:04,6.1241,81.1185,75.54,100,40,0.0
177,Tamiahua,MX,2021-11-28 22:07:27,21.2667,-97.45,69.49,89,99,11.9
178,Darlawn,IN,2021-11-28 22:07:27,24.0167,92.9,53.22,84,3,3.18
179,El Tigre,VE,2021-11-28 22:03:35,8.8875,-64.2454,81.86,61,100,9.04
180,Faanui,PF,2021-11-28 22:07:28,-16.4833,-151.75,81.55,73,97,10.49
181,Mehamn,NO,2021-11-28 22:07:34,71.0357,27.8492,14.18,92,37,16.33
182,Rio Grande,BR,2021-11-28 21:59:14,-32.035,-52.0986,75.31,89,100,12.86
183,Florida,US,2021-11-28 22:04:06,28.7505,-82.5001,64.45,59,75,0.0
184,Narsaq,GL,2021-11-28 22:02:50,60.9167,-46.05,35.82,99,100,2.98
185,Kruisfontein,ZA,2021-11-28 22:05:22,-34.0033,24.7314,62.69,78,3,16.75
186,Waipawa,NZ,2021-11-28 22:07:36,-41.4122,175.5153,63.23,66,71,5.79
187,Katsuura,JP,2021-11-28 22:07:36,35.1333,140.3,42.91,55,11,2.06
188,Kensington,AU,2021-11-28 22:06:26,-33.9167,151.2167,64.11,63,75,11.5
189,Avera,US,2021-11-28 22:01:27,33.194,-82.5271,56.86,39,89,8.05
190,Kanel,SN,2021-11-28 22:07:37,15.4916,-13.1763,84.92,20,13,15.9
191,Pevek,RU,2021-11-28 22:07:37,69.7008,170.3133,1.96,92,100,1.95
192,Ancud,CL,2021-11-28 22:07:37,-41.8697,-73.8203,58.53,72,69,8.97
193,Chifeng,CN,2021-11-28 22:07:38,42.2683,118.9636,29.73,66,100,3.09
194,Murgab,TM,2021-11-28 22:07:38,37.4966,61.9714,50.09,49,7,8.93
195,Thomaston,US,2021-11-28 22:07:39,32.8882,-84.3266,54.37,50,1,5.75
196,Cockburn Town,TC,2021-11-28 22:07:39,21.4612,-71.1419,78.76,73,40,5.75
197,Lata,PT,2021-11-28 22:02:51,40.1629,-8.3327,52.21,93,97,9.08
198,Geraldton,AU,2021-11-28 22:05:30,-28.7667,114.6,64.81,94,90,11.5
