City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Mataura,NZ,-46.1927,168.8643,57.47,44,87,7.25,overcast clouds
199,Cherskiy,RU,68.75,161.3,-35.03,96,100,2.68,overcast clouds
200,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,69,1,9.22,clear sky
201,Chunoyar,RU,57.4467,97.3217,27.1,95,100,8.01,light snow
202,Bathsheba,BB,13.2167,-59.5167,81.21,74,75,21.85,broken clouds
203,Olinda,BR,-8.0089,-34.8553,82.13,74,40,9.22,scattered clouds
204,Saint-Philippe,RE,-21.3585,55.7679,76.55,78,37,11.01,scattered clouds
205,Calvinia,ZA,-31.4707,19.776,53.55,90,52,5.12,broken clouds
206,Pergamino,AR,-33.89,-60.5736,70.25,72,62,6.85,broken clouds
207,Palermo,IT,37.8167,13.5833,48.74,90,100,6.87,overcast clouds
208,Port Moresby,PG,-9.4431,147.1797,83.62,74,75,11.5,broken clouds
209,Esperantina,BR,-3.9017,-42.2336,78.35,88,96,4.83,overcast clouds
210,Ciampino,IT,41.8016,12.6066,47.62,84,40,5.75,scattered clouds
211,Beaufort,MY,5.3473,115.7455,77.16,91,100,1.86,overcast clouds
212,Kushmurun,KZ,52.4503,64.6311,24.51,90,100,9.31,overcast clouds
213,Puli,TW,23.9664,120.9695,62.8,45,0,1.63,clear sky
214,Qui Nhon,VN,13.7667,109.2333,71.17,89,94,14.7,overcast clouds
215,East London,ZA,-33.0153,27.9116,68.34,90,100,2.57,overcast clouds
216,Kruisfontein,ZA,-34.0033,24.7314,61.88,89,19,16.84,light rain
217,Souillac,MU,-20.5167,57.5167,77.38,78,40,6.91,scattered clouds
218,Ugoofaaru,MV,5.6667,73.0,82.24,72,6,9.35,clear sky
219,Axim,GH,4.8699,-2.2405,79.52,85,50,6.82,scattered clouds
220,Hithadhoo,MV,-0.6,73.0833,81.14,79,100,11.48,overcast clouds
221,Kulhudhuffushi,MV,6.6221,73.07,81.57,75,18,8.03,few clouds
222,Kingori,TZ,-3.2833,36.9833,68.38,78,75,11.5,broken clouds
223,Fortuna,US,40.5982,-124.1573,52.41,73,90,0.0,overcast clouds
224,Santa Fe,AR,-31.6333,-60.7,78.03,61,38,3.0,light rain
225,Nanortalik,GL,60.1432,-45.2371,26.51,67,100,31.27,light snow
226,Yellowknife,CA,62.456,-114.3525,-19.59,82,1,4.61,clear sky
227,Grand Gaube,MU,-20.0064,57.6608,77.4,76,77,3.0,light rain
228,Magadan,RU,59.5667,150.8,-4.63,89,19,6.8,few clouds
229,Novyy Urengoy,RU,66.0833,76.6333,-22.09,96,14,8.57,few clouds
230,Geraldton,AU,-28.7667,114.6,84.61,26,0,19.57,clear sky
231,Kutum,SD,14.2,24.6667,61.32,23,0,5.82,clear sky
232,Karasjok,NO,69.4719,25.5112,-0.29,95,15,5.84,few clouds
233,Ostrovnoy,RU,68.0531,39.5131,10.45,74,88,23.42,overcast clouds
234,Ancud,CL,-41.8697,-73.8203,67.53,78,0,3.69,clear sky
235,Silver City,US,32.7701,-108.2803,51.31,34,90,8.05,overcast clouds
236,Machiques,VE,10.0644,-72.545,76.95,78,53,7.05,broken clouds
237,Boa Vista,BR,2.8197,-60.6733,82.38,65,75,13.8,broken clouds
238,Barsovo,RU,61.1667,73.1667,-20.07,99,32,5.73,scattered clouds
239,Arraial Do Cabo,BR,-22.9661,-42.0278,74.37,87,81,20.67,broken clouds
240,Lavrentiya,RU,65.5833,-171.0,29.23,97,100,18.39,snow
241,Guerrero Negro,MX,27.9769,-114.0611,63.39,82,0,14.56,clear sky
242,West Wendover,US,40.7391,-114.0733,46.51,37,96,4.23,overcast clouds
243,Senno,RU,59.5336,33.9167,-5.35,93,11,6.6,few clouds
244,Coahuayana,MX,18.7333,-103.6833,75.7,89,100,2.06,overcast clouds
245,Ahipara,NZ,-35.1667,173.1667,75.25,63,92,10.76,overcast clouds
246,Wang Saphung,TH,17.301,101.7685,64.09,79,38,0.0,scattered clouds
247,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.49,97,96,1.16,overcast clouds
248,Camacha,PT,33.0833,-16.3333,61.56,63,75,10.36,broken clouds
249,North Bend,US,43.4065,-124.2243,49.91,98,100,7.72,overcast clouds
250,Norman Wells,CA,65.282,-126.8329,-27.36,62,75,0.0,broken clouds
251,Ivanava,BY,52.1451,25.5365,29.75,97,100,6.29,overcast clouds
252,Chokurdakh,RU,70.6333,147.9167,-42.57,99,53,6.06,broken clouds
253,Bethel,US,41.3712,-73.414,44.55,62,100,1.01,overcast clouds
254,Luba,GQ,3.4568,8.5547,78.69,82,100,4.34,light rain
255,Kadhan,PK,24.481,68.9859,65.43,25,3,7.31,clear sky
256,Tasiilaq,GL,65.6145,-37.6368,29.32,93,100,19.8,snow
257,Roma,US,43.2128,-75.4557,42.84,70,100,8.99,overcast clouds
258,Lorengau,PG,-2.0226,147.2712,86.47,72,97,17.34,moderate rain
259,San Francisco,US,37.7749,-122.4194,60.51,79,75,1.99,broken clouds
260,Kholmogory,RU,64.2229,41.656,-2.09,98,5,2.82,clear sky
261,Lensk,RU,60.7253,114.9278,-12.51,100,98,1.25,overcast clouds
262,Bredasdorp,ZA,-34.5322,20.0403,59.29,94,100,10.0,moderate rain
263,Urubicha,BO,-15.3833,-62.95,72.54,98,100,3.69,overcast clouds
264,Ippy,CF,6.2679,21.2247,73.87,41,100,0.85,overcast clouds
265,Lazaro Cardenas,MX,17.9583,-102.2,77.97,83,86,4.81,overcast clouds
266,Vanavara,RU,60.34,102.2797,-8.77,100,100,3.11,overcast clouds
267,Progreso,MX,21.2833,-89.6667,75.65,79,0,12.55,clear sky
268,Conceicao Da Barra,BR,-18.5933,-39.7322,74.05,87,0,6.58,clear sky
269,Gigmoto,PH,13.7796,124.39,79.23,77,85,13.78,overcast clouds
270,Zyryanka,RU,65.75,150.85,-44.73,97,29,5.5,scattered clouds
271,Champua,IN,22.0833,85.6667,64.53,97,100,7.9,overcast clouds
272,Garowe,SO,8.4054,48.4845,66.61,74,5,8.79,clear sky
273,Evensk,RU,61.95,159.2333,-13.32,80,17,6.64,few clouds
274,Sinnamary,GF,5.3833,-52.95,76.84,89,100,5.66,light rain
275,Iqaluit,CA,63.7506,-68.5145,10.13,72,90,17.0,light snow
276,Itarema,BR,-2.9248,-39.9167,81.14,81,8,16.67,clear sky
277,Vung Tau,VN,10.346,107.0843,76.48,79,100,2.8,overcast clouds
278,Broome,US,42.2506,-75.833,42.82,55,100,1.99,overcast clouds
279,Nioro,GM,13.35,-15.75,77.2,19,94,4.7,overcast clouds
280,Avarua,CK,-21.2078,-159.775,80.65,83,40,6.91,light rain
281,Pisco,PE,-13.7,-76.2167,67.01,88,75,16.11,broken clouds
282,Hay River,CA,60.8156,-115.7999,-16.62,69,1,5.75,clear sky
283,Taoudenni,ML,22.6783,-3.9836,59.99,24,100,10.2,overcast clouds
284,Mosquera,CO,4.7059,-74.2302,57.29,67,20,5.75,few clouds
285,Georgetown,MY,5.4112,100.3354,78.89,81,20,5.01,few clouds
286,Kilembe,UG,0.2,30.0,61.83,74,99,4.29,overcast clouds
287,Smithers,CA,54.7804,-127.1743,16.12,92,90,0.0,overcast clouds
288,Oktyabrskiy,RU,54.4815,53.471,24.82,93,60,3.65,broken clouds
289,Dudinka,RU,69.4058,86.1778,-16.38,98,100,20.98,light snow
290,Castro,BR,-24.7911,-50.0119,63.09,88,96,2.13,overcast clouds
291,Ixtapa,MX,20.7,-105.2,72.36,95,97,0.87,overcast clouds
292,Sitka,US,57.0531,-135.33,35.49,75,90,4.61,light rain
293,Nouadhibou,MR,20.931,-17.0347,66.18,55,66,11.5,dust
294,Cockburn Town,TC,21.4612,-71.1419,80.44,78,13,21.43,few clouds
295,Hobyo,SO,5.3505,48.5268,78.49,73,31,15.86,scattered clouds
296,Hasaki,JP,35.7333,140.8333,50.4,60,100,12.21,overcast clouds
297,Benjamin Constant,BR,-4.3831,-70.0311,77.13,99,90,2.19,overcast clouds
298,Jacareacanga,BR,-6.2222,-57.7528,73.72,96,100,1.86,overcast clouds
299,Solnechnyy,RU,50.7214,136.6319,19.38,82,33,3.69,scattered clouds
300,Farafangana,MG,-22.8167,47.8333,75.85,90,14,9.91,light rain
301,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.2,87,90,14.72,overcast clouds
302,Bagdarin,RU,54.4333,113.6,-0.89,95,17,3.49,few clouds
303,Lata,PT,40.1629,-8.3327,52.81,95,26,0.94,scattered clouds
304,Manggar,ID,-2.8833,108.2667,78.42,89,100,8.55,heavy intensity rain
305,Ha Tinh,VN,18.3333,105.9,63.7,66,37,5.73,scattered clouds
306,Manakara,MG,-22.1333,48.0167,74.52,92,1,6.73,light rain
307,Tevriz,RU,57.509,72.4042,16.47,95,100,4.83,overcast clouds
308,Usinsk,RU,65.9939,57.5281,-0.33,99,98,9.26,overcast clouds
309,Seybaplaya,MX,19.65,-90.6667,74.08,75,0,11.05,clear sky
310,Donskoye,RU,45.4552,41.9741,46.53,94,99,3.87,overcast clouds
311,Sosnovo-Ozerskoye,RU,52.5249,111.5418,9.61,89,24,7.07,few clouds
312,Cap Malheureux,MU,-19.9842,57.6142,77.49,76,86,3.0,light rain
313,Oranjemund,NA,-28.55,16.4333,61.25,91,13,6.62,few clouds
314,Stepnyak,KZ,52.8339,70.7803,18.55,86,99,9.15,overcast clouds
315,Uglekamensk,RU,43.2172,133.2303,36.93,93,100,0.85,overcast clouds
316,Tuatapere,NZ,-46.1333,167.6833,57.81,49,70,8.75,broken clouds
317,Cayenne,GF,4.9333,-52.3333,78.1,90,0,1.01,clear sky
318,Ossora,RU,59.2353,163.0719,17.67,82,100,10.49,overcast clouds
319,Potchefstroom,ZA,-26.7167,27.1,59.59,94,44,5.68,scattered clouds
320,Zhangye,CN,38.9342,100.4517,30.45,36,0,5.39,clear sky
321,Mahebourg,MU,-20.4081,57.7,77.29,78,40,6.91,light rain
322,Port Hedland,AU,-20.3167,118.5667,105.85,10,35,17.27,scattered clouds
323,Nemuro,JP,43.3236,145.575,37.83,67,2,17.2,clear sky
324,Bubaque,GW,11.2833,-15.8333,81.34,67,84,10.89,broken clouds
325,Ginir,ET,7.1333,40.7,52.84,42,14,3.11,few clouds
326,Krasnoborsk,RU,61.5598,45.934,-3.73,100,89,3.09,overcast clouds
327,Nuevo Progreso,MX,23.1667,-97.95,79.59,75,100,8.99,overcast clouds
328,Bud,US,39.447,-86.1758,61.9,91,84,22.93,broken clouds
329,Manzhouli,CN,49.6,117.4333,11.93,86,11,6.55,few clouds
330,Barrhead,GB,55.7992,-4.3929,34.84,92,40,1.01,scattered clouds
331,Quatre Cocos,MU,-20.2078,57.7625,77.11,75,14,12.21,light rain
332,Puerto Plata,DO,19.7934,-70.6884,78.64,94,20,0.0,few clouds
333,La Ronge,CA,55.1001,-105.2842,-12.75,77,1,4.61,clear sky
334,Hohhot,CN,40.8106,111.6522,10.69,67,0,4.47,clear sky
335,New Iberia,US,30.0035,-91.8187,68.11,96,100,7.05,overcast clouds
336,Bilma,NE,18.6853,12.9164,64.09,19,4,7.36,clear sky
337,Mezen,RU,65.8522,44.24,12.0,73,73,10.83,broken clouds
338,Praya,CV,14.9215,-23.5087,72.14,83,0,19.57,clear sky
339,Mount Airy,US,36.4993,-80.6073,54.66,58,97,3.0,overcast clouds
340,Springdale,US,36.1867,-94.1288,67.19,91,90,15.99,overcast clouds
341,Nibe,DK,56.9815,9.6392,30.16,86,40,9.22,scattered clouds
342,Upernavik,GL,72.7868,-56.1549,26.22,79,100,4.79,overcast clouds
343,Nizhniy Odes,RU,63.6445,54.856,2.64,97,100,3.0,overcast clouds
344,Umm Kaddadah,SD,13.6017,26.6876,68.76,15,3,14.52,clear sky
345,Petit Goave,HT,18.4314,-72.8669,78.91,74,49,1.3,scattered clouds
